"","Award.Year","Winner.Id","Full.Name","Field","Prize","Prize.Amount","Prize.Amount.Adjusted","Prize.Share","Motivation","Date.Awarded","DOB","age"
"517","1976","536","Mairead Corrigan","Peace","The Nobel Peace Prize",681000,3403217,"1/2","for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland","1977-10-10","1944-01-27",0
"518","1976","105","Burton Richter","Physics","The Nobel Prize in Physics",681000,3403217,"1/2","for their pioneering work in the discovery of a heavy elementary particle of a new kind","1976-10-18","1931-03-22",0
"519","1976","106","Samuel C.C. Ting","Physics","The Nobel Prize in Physics",681000,3403217,"1/2","for their pioneering work in the discovery of a heavy elementary particle of a new kind","1976-10-18","1936-01-27",0
"520","1976","409","Baruch S. Blumberg","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",681000,3403217,"1/2","for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases","1976-10-14","1925-07-28",0
"521","1976","410","D. Carleton Gajdusek","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",681000,3403217,"1/2","for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases","1976-10-14","1923-09-09",0
"522","1977","250","Ilya Prigogine","Chemistry","The Nobel Prize in Chemistry",700000,3136854,"1","for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures","1977-10-11","1917-01-25",0
"523","1977","689","Bertil Ohlin","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",700000,3136854,"1/2","for their pathbreaking contribution to the theory of international trade and international capital movements","1977-10-14","1899-04-23",0
"524","1977","690","James E. Meade","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",700000,3136854,"1/2","for their pathbreaking contribution to the theory of international trade and international capital movements","1977-10-14","1907-06-23",0
"525","1977","653","Vicente Aleixandre","Literature","The Nobel Prize in Literature",700000,3136854,"1","for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars",NA,"1898-04-26",0
"526","1977","537",NA,"Peace","The Nobel Peace Prize",700000,3136854,"1","for worldwide respect for human rights","1977-10-10",NA,0
"527","1977","107","Philip W. Anderson","Physics","The Nobel Prize in Physics",700000,3136854,"1/3","for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems","1977-10-11","1923-12-13",0
"528","1977","108","Sir Nevill F. Mott","Physics","The Nobel Prize in Physics",700000,3136854,"1/3","for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems","1977-10-11","1905-09-30",0
"529","1977","109","John H. Van Vleck","Physics","The Nobel Prize in Physics",700000,3136854,"1/3","for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems","1977-10-11","1899-03-13",0
"530","1977","411","Roger Guillemin","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",700000,3136854,"1/4","for their discoveries concerning the peptide hormone production of the brain",NA,"1924-01-11",0
"531","1977","412","Andrew V. Schally","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",700000,3136854,"1/4","for their discoveries concerning the peptide hormone production of the brain",NA,"1926-11-30",0
"532","1977","413","Rosalyn Yalow","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",700000,3136854,"1/2","for the development of radioimmunoassays of peptide hormones",NA,"1921-07-19",0
"533","1978","251","Peter Mitchell","Chemistry","The Nobel Prize in Chemistry",725000,2951013,"1","for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory","1978-10-17","1920-09-29",0
"534","1978","691","Herbert Simon","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",725000,2951013,"1","for his pioneering research into the decision-making process within economic organizations","1978-10-16","1916-06-15",0
"535","1978","654","Isaac Bashevis Singer","Literature","The Nobel Prize in Literature",725000,2951013,"1","for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",NA,"1904-07-14",0
"536","1978","538","Anwar al-Sadat","Peace","The Nobel Peace Prize",725000,2951013,"1/2","for jointly having negotiated peace between Egypt and Israel in 1978","1978-10-27","1918-12-25",0
"537","1978","539","Menachem Begin","Peace","The Nobel Peace Prize",725000,2951013,"1/2","for jointly having negotiated peace between Egypt and Israel in 1978","1978-10-27","1913-08-16",0
"538","1978","110","Pyotr Kapitsa","Physics","The Nobel Prize in Physics",725000,2951013,"1/2","for his basic inventions and discoveries in the area of low-temperature physics","1978-10-17","1894-07-09",0
"539","1978","111","Arno Penzias","Physics","The Nobel Prize in Physics",725000,2951013,"1/4","for their discovery of cosmic microwave background radiation","1978-10-17","1933-04-26",0
"540","1978","112","Robert Woodrow Wilson","Physics","The Nobel Prize in Physics",725000,2951013,"1/4","for their discovery of cosmic microwave background radiation","1978-10-17","1936-01-10",0
"541","1978","414","Werner Arber","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",725000,2951013,"1/3","for the discovery of restriction enzymes and their application to problems of molecular genetics",NA,"1929-06-03",0
"542","1978","415","Daniel Nathans","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",725000,2951013,"1/3","for the discovery of restriction enzymes and their application to problems of molecular genetics",NA,"1928-10-30",0
"543","1978","416","Hamilton O. Smith","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",725000,2951013,"1/3","for the discovery of restriction enzymes and their application to problems of molecular genetics",NA,"1931-08-23",0
"544","1979","252","Herbert C. Brown","Chemistry","The Nobel Prize in Chemistry",800000,3042231,"1/2","for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis","1979-10-15","1912-05-22",0
"545","1979","253","Georg Wittig","Chemistry","The Nobel Prize in Chemistry",800000,3042231,"1/2","for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis","1979-10-15","1897-06-16",0
"546","1979","692","Theodore W. Schultz","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",800000,3042231,"1/2","for their pioneering research into economic development research with particular consideration of the problems of developing countries","1979-10-16","1902-04-30",0
"547","1979","693","Sir Arthur Lewis","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",800000,3042231,"1/2","for their pioneering research into economic development research with particular consideration of the problems of developing countries","1979-10-16","1915-01-23",0
"548","1979","655","Odysseus Elytis","Literature","The Nobel Prize in Literature",800000,3042231,"1","for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness",NA,"1911-11-02",0
"549","1979","540","Mother Teresa ","Peace","The Nobel Peace Prize",800000,3042231,"1","for her work for bringing help to suffering humanity","1979-10-27","1910-08-26",0
"550","1979","113","Sheldon Glashow","Physics","The Nobel Prize in Physics",800000,3042231,"1/3","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","1979-10-15","1932-12-05",0
"551","1979","114","Abdus Salam","Physics","The Nobel Prize in Physics",800000,3042231,"1/3","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","1979-10-15","1926-01-29",0
"552","1979","115","Steven Weinberg","Physics","The Nobel Prize in Physics",800000,3042231,"1/3","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","1979-10-15","1933-05-03",0
"553","1979","417","Allan M. Cormack","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",800000,3042231,"1/2","for the development of computer assisted tomography","1979-10-11","1924-02-23",0
"554","1979","418","Godfrey N. Hounsfield","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",800000,3042231,"1/2","for the development of computer assisted tomography","1979-10-11","1919-08-28",0
"555","1980","254","Paul Berg","Chemistry","The Nobel Prize in Chemistry",880000,2942067,"1/2","for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA","1980-10-14","1926-06-30",0
"556","1980","255","Walter Gilbert","Chemistry","The Nobel Prize in Chemistry",880000,2942067,"1/4","for their contributions concerning the determination of base sequences in nucleic acids","1980-10-14","1932-03-21",0
"557","1980","222","Frederick Sanger","Chemistry","The Nobel Prize in Chemistry",880000,2942067,"1/4","for their contributions concerning the determination of base sequences in nucleic acids","1980-10-14","1918-08-13",0
"558","1980","694","Lawrence R. Klein","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",880000,2942067,"1","for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies","1980-10-15","1920-09-14",0
"559","1980","657","Czeslaw Milosz","Literature","The Nobel Prize in Literature",880000,2942067,"1","who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts",NA,"1911-06-30",0
"560","1980","541","Adolfo Pérez Esquivel","Peace","The Nobel Peace Prize",880000,2942067,"1","for being a source of inspiration to repressed people, especially in Latin America","1980-10-27","1931-11-26",0
"561","1980","116","James Cronin","Physics","The Nobel Prize in Physics",880000,2942067,"1/2","for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons","1980-10-12","1931-09-29",0
"562","1980","117","Val Fitch","Physics","The Nobel Prize in Physics",880000,2942067,"1/2","for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons","1980-10-12","1923-03-10",0
"563","1980","419","Baruj Benacerraf","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",880000,2942067,"1/3","for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions","1980-10-10","1920-10-29",0
"564","1980","420","Jean Dausset","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",880000,2942067,"1/3","for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions","1980-10-10","1916-10-19",0
"565","1980","421","George D. Snell","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",880000,2942067,"1/3","for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions","1980-10-10","1903-12-19",0
"566","1981","257","Kenichi Fukui","Chemistry","The Nobel Prize in Chemistry",1000000,2982813,"1/2","for their theories, developed independently, concerning the course of chemical reactions","1981-10-19","1918-10-04",0
"567","1981","258","Roald Hoffmann","Chemistry","The Nobel Prize in Chemistry",1000000,2982813,"1/2","for their theories, developed independently, concerning the course of chemical reactions","1981-10-19","1937-07-18",0
"568","1981","695","James Tobin","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",1000000,2982813,"1","for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices","1981-10-13","1918-03-05",0
"569","1981","658","Elias Canetti","Literature","The Nobel Prize in Literature",1000000,2982813,"1","for writings marked by a broad outlook, a wealth of ideas and artistic power",NA,"1905-07-25",0
"570","1981","515",NA,"Peace","The Nobel Peace Prize",1000000,2982813,"1","for promoting the fundamental rights of refugees","1981-10-14",NA,0
"571","1981","118","Nicolaas Bloembergen","Physics","The Nobel Prize in Physics",1000000,2982813,"1/4","for their contribution to the development of laser spectroscopy","1981-10-19","1920-03-11",0
"572","1981","119","Arthur L. Schawlow","Physics","The Nobel Prize in Physics",1000000,2982813,"1/4","for their contribution to the development of laser spectroscopy","1981-10-19","1921-05-05",0
"573","1981","120","Kai M. Siegbahn","Physics","The Nobel Prize in Physics",1000000,2982813,"1/2","for his contribution to the development of high-resolution electron spectroscopy","1981-10-19","1918-04-20",0
"574","1981","422","Roger W. Sperry","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1000000,2982813,"1/2","for his discoveries concerning the functional specialization of the cerebral hemispheres","1981-10-09","1913-08-20",0
"575","1981","423","David H. Hubel","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1000000,2982813,"1/4","for their discoveries concerning information processing in the visual system","1981-10-09","1926-02-27",0
"576","1981","424","Torsten N. Wiesel","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1000000,2982813,"1/4","for their discoveries concerning information processing in the visual system","1981-10-09","1924-06-03",0
"577","1982","259","Aaron Klug","Chemistry","The Nobel Prize in Chemistry",1150000,3158777,"1","for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes","1982-10-18","1926-08-11",0
"578","1982","696","George J. Stigler","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",1150000,3158777,"1","for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation","1982-10-20","1911-01-17",0
"579","1982","659","Gabriel García Márquez","Literature","The Nobel Prize in Literature",1150000,3158777,"1","for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",NA,"1927-03-06",0
"580","1982","543","Alva Myrdal","Peace","The Nobel Peace Prize",1150000,3158777,"1/2","for their work for disarmament and nuclear and weapon-free zones","1982-10-13","1902-01-31",0
"581","1982","544","Alfonso García Robles","Peace","The Nobel Peace Prize",1150000,3158777,"1/2","for their work for disarmament and nuclear and weapon-free zones","1982-10-13","1911-03-20",0
"582","1982","121","Kenneth G. Wilson","Physics","The Nobel Prize in Physics",1150000,3158777,"1","for his theory for critical phenomena in connection with phase transitions","1982-10-18","1936-06-08",0
"583","1982","425","Sune K. Bergström","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1150000,3158777,"1/3","for their discoveries concerning prostaglandins and related biologically active substances","1982-10-11","1916-01-10",0
"584","1982","426","Bengt I. Samuelsson","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1150000,3158777,"1/3","for their discoveries concerning prostaglandins and related biologically active substances","1982-10-11","1934-05-21",0
"585","1982","427","John R. Vane","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1150000,3158777,"1/3","for their discoveries concerning prostaglandins and related biologically active substances","1982-10-11","1927-03-29",0
"586","1983","260","Henry Taube","Chemistry","The Nobel Prize in Chemistry",1500000,3782695,"1","for his work on the mechanisms of electron transfer reactions, especially in metal complexes","1983-10-19","1915-11-30",0
"587","1983","697","Gerard Debreu","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",1500000,3782695,"1","for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium","1983-10-17","1921-07-04",0
"588","1983","660","William Golding","Literature","The Nobel Prize in Literature",1500000,3782695,"1","for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today",NA,"1911-09-19",0
"589","1983","545","Lech Walesa","Peace","The Nobel Peace Prize",1500000,3782695,"1","for non-violent struggle for free trade unions and human rights in Poland","1983-10-05","1943-09-29",0
"590","1983","122","Subramanyan Chandrasekhar","Physics","The Nobel Prize in Physics",1500000,3782695,"1/2","for his theoretical studies of the physical processes of importance to the structure and evolution of the stars","1983-10-19","1910-10-19",0
"591","1983","123","William A. Fowler","Physics","The Nobel Prize in Physics",1500000,3782695,"1/2","for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe","1983-10-19","1911-08-09",0
"592","1983","428","Barbara McClintock","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1500000,3782695,"1","for her discovery of mobile genetic elements",NA,"1902-06-16",0
"593","1984","261","Bruce Merrifield","Chemistry","The Nobel Prize in Chemistry",1650000,3850672,"1","for his development of methodology for chemical synthesis on a solid matrix","1984-10-17","1921-07-15",0
"594","1984","698","Richard Stone","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",1650000,3850672,"1","for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis","1984-10-18","1913-08-30",0
"595","1984","661","Jaroslav Seifert","Literature","The Nobel Prize in Literature",1650000,3850672,"1","for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man",NA,"1901-09-23",0
"596","1984","546","Desmond Tutu","Peace","The Nobel Peace Prize",1650000,3850672,"1","for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in  South Africa","1984-10-05","1931-10-07",0
"597","1984","124","Carlo Rubbia","Physics","The Nobel Prize in Physics",1650000,3850672,"1/2","for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction","1984-10-17","1934-03-31",0
"598","1984","125","Simon van der Meer","Physics","The Nobel Prize in Physics",1650000,3850672,"1/2","for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction","1984-10-17","1925-11-24",0
"599","1984","429","Niels K. Jerne","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1650000,3850672,"1/3","for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies",NA,"1911-12-23",0
"600","1984","430","Georges J.F. Köhler","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1650000,3850672,"1/3","for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies",NA,"1946-04-17",0
"601","1984","431","César Milstein","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1650000,3850672,"1/3","for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies",NA,"1927-10-08",0
"602","1985","262","Herbert A. Hauptman","Chemistry","The Nobel Prize in Chemistry",1800000,3913667,"1/2","for their outstanding achievements in the development of direct methods for the determination of crystal structures","1985-10-15","1917-02-14",0
"603","1985","263","Jerome Karle","Chemistry","The Nobel Prize in Chemistry",1800000,3913667,"1/2","for their outstanding achievements in the development of direct methods for the determination of crystal structures","1985-10-15","1918-06-18",0
"604","1985","699","Franco Modigliani","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",1800000,3913667,"1","for his pioneering analyses of saving and of financial markets","1985-10-15","1918-06-18",0
"605","1985","662","Claude Simon","Literature","The Nobel Prize in Literature",1800000,3913667,"1","who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition",NA,"1913-10-10",0
"606","1985","547",NA,"Peace","The Nobel Peace Prize",1800000,3913667,"1","for spreading authoritative information and by creating awareness of the catastrophic consequences of  nuclear  war","1985-10-05",NA,0
"607","1985","126","Klaus von Klitzing","Physics","The Nobel Prize in Physics",1800000,3913667,"1","for the discovery of the quantized Hall effect","1985-10-16","1943-06-28",0
"608","1985","432","Michael S. Brown","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1800000,3913667,"1/2","for their discoveries concerning the regulation of cholesterol metabolism",NA,"1941-04-13",0
"609","1985","433","Joseph L. Goldstein","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",1800000,3913667,"1/2","for their discoveries concerning the regulation of cholesterol metabolism",NA,"1940-04-18",0
"610","1986","264","Dudley R. Herschbach","Chemistry","The Nobel Prize in Chemistry",2000000,4172678,"1/3","for their contributions concerning the dynamics of chemical elementary processes","1986-10-15","1932-06-18",0
"611","1986","265","Yuan T. Lee","Chemistry","The Nobel Prize in Chemistry",2000000,4172678,"1/3","for their contributions concerning the dynamics of chemical elementary processes","1986-10-15","1936-11-19",0
"612","1986","266","John C. Polanyi","Chemistry","The Nobel Prize in Chemistry",2000000,4172678,"1/3","for their contributions concerning the dynamics of chemical elementary processes","1986-10-15","1929-01-23",0
"613","1986","700","James M. Buchanan Jr.","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",2000000,4172678,"1","for his development of the contractual and constitutional bases for the theory of economic and political decision-making","1986-10-16","1919-10-03",0
"614","1986","663","Wole Soyinka","Literature","The Nobel Prize in Literature",2000000,4172678,"1","who in a wide cultural perspective and with poetic overtones fashions the drama of existence",NA,"1934-07-13",0
"615","1986","548","Elie Wiesel","Peace","The Nobel Peace Prize",2000000,4172678,"1","for being a messenger to mankind: his message is one of peace, atonement and dignity","1986-10-14","1928-09-30",0
"616","1986","127","Ernst Ruska","Physics","The Nobel Prize in Physics",2000000,4172678,"1/2","for his fundamental work in electron optics, and for the design of the first electron microscope","1986-10-15","1906-12-25",0
"617","1986","128","Gerd Binnig","Physics","The Nobel Prize in Physics",2000000,4172678,"1/4","for their design of the scanning tunneling microscope","1986-10-15","1947-07-20",0
"618","1986","129","Heinrich Rohrer","Physics","The Nobel Prize in Physics",2000000,4172678,"1/4","for their design of the scanning tunneling microscope","1986-10-15","1933-06-06",0
"619","1986","434","Stanley Cohen","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",2000000,4172678,"1/2","for their discoveries of growth factors",NA,"1922-11-17",0
"620","1986","435","Rita Levi-Montalcini","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",2000000,4172678,"1/2","for their discoveries of growth factors",NA,"1909-04-22",0
"621","1987","267","Donald J. Cram","Chemistry","The Nobel Prize in Chemistry",2175000,4352280,"1/3","for their development and use of molecules with structure-specific interactions of high selectivity","1987-10-14","1919-04-22",0
"622","1987","268","Jean-Marie Lehn","Chemistry","The Nobel Prize in Chemistry",2175000,4352280,"1/3","for their development and use of molecules with structure-specific interactions of high selectivity","1987-10-14","1939-09-30",0
"623","1987","269","Charles J. Pedersen","Chemistry","The Nobel Prize in Chemistry",2175000,4352280,"1/3","for their development and use of molecules with structure-specific interactions of high selectivity","1987-10-14","1904-10-03",0
"624","1987","701","Robert M. Solow","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",2175000,4352280,"1","for his contributions to the theory of economic growth","1987-10-21","1924-08-23",0
"625","1987","664","Joseph Brodsky","Literature","The Nobel Prize in Literature",2175000,4352280,"1","for an all-embracing authorship, imbued with clarity of thought and poetic intensity",NA,"1940-05-24",0
"626","1987","549","Oscar Arias Sánchez","Peace","The Nobel Peace Prize",2175000,4352280,"1","for his work for lasting peace in Central America","1987-10-13","1940-09-13",0
"627","1987","130","J. Georg Bednorz","Physics","The Nobel Prize in Physics",2175000,4352280,"1/2","for their important break-through in the discovery of superconductivity in ceramic materials","1987-10-14","1950-05-16",0
"628","1987","131","K. Alex Müller","Physics","The Nobel Prize in Physics",2175000,4352280,"1/2","for their important break-through in the discovery of superconductivity in ceramic materials","1987-10-14","1927-04-20",0
"629","1987","436","Susumu Tonegawa","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",2175000,4352280,"1","for his discovery of the genetic principle for generation of antibody diversity",NA,"1939-09-05",0
"630","1988","270","Johann Deisenhofer","Chemistry","The Nobel Prize in Chemistry",2500000,4729931,"1/3","for the determination of the three-dimensional structure of a photosynthetic reaction centre","1988-10-19","1943-09-30",0
"631","1988","271","Robert Huber","Chemistry","The Nobel Prize in Chemistry",2500000,4729931,"1/3","for the determination of the three-dimensional structure of a photosynthetic reaction centre","1988-10-19","1937-02-20",0
"632","1988","272","Hartmut Michel","Chemistry","The Nobel Prize in Chemistry",2500000,4729931,"1/3","for the determination of the three-dimensional structure of a photosynthetic reaction centre","1988-10-19","1948-07-18",0
"633","1988","702","Maurice Allais","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",2500000,4729931,"1","for his pioneering contributions to the theory of markets and efficient utilization of resources","1988-10-18","1911-05-31",0
"634","1988","665","Naguib Mahfouz","Literature","The Nobel Prize in Literature",2500000,4729931,"1","who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind",NA,"1911-12-11",0
"635","1988","550",NA,"Peace","The Nobel Peace Prize",2500000,4729931,"1","for preventing armed clashes and creating conditions for negotiations","1988-09-29",NA,0
"636","1988","132","Leon M. Lederman","Physics","The Nobel Prize in Physics",2500000,4729931,"1/3","for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino","1988-10-19","1922-07-15",0
"637","1988","133","Melvin Schwartz","Physics","The Nobel Prize in Physics",2500000,4729931,"1/3","for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino","1988-10-19","1932-11-02",0
"638","1988","134","Jack Steinberger","Physics","The Nobel Prize in Physics",2500000,4729931,"1/3","for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino","1988-10-19","1921-05-25",0
"639","1988","437","Sir James W. Black","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",2500000,4729931,"1/3","for their discoveries of important principles for drug treatment",NA,"1924-06-14",0
"640","1988","438","Gertrude B. Elion","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",2500000,4729931,"1/3","for their discoveries of important principles for drug treatment",NA,"1918-01-23",0
"641","1988","439","George H. Hitchings","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",2500000,4729931,"1/3","for their discoveries of important principles for drug treatment",NA,"1905-04-18",0
"642","1989","273","Sidney Altman","Chemistry","The Nobel Prize in Chemistry",3000000,5337372,"1/2","for their discovery of catalytic properties of RNA","1989-10-12","1939-05-07",0
"643","1989","274","Thomas R. Cech","Chemistry","The Nobel Prize in Chemistry",3000000,5337372,"1/2","for their discovery of catalytic properties of RNA","1989-10-12","1947-12-08",0
"644","1989","703","Trygve Haavelmo","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",3000000,5337372,"1","for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures","1989-10-11","1911-12-13",0
"645","1989","666","Camilo José Cela","Literature","The Nobel Prize in Literature",3000000,5337372,"1","for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",NA,"1916-05-11",0
"646","1989","551","The 14th Dalai Lama ","Peace","The Nobel Peace Prize",3000000,5337372,"1","for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people","1989-10-05","1935-07-06",0
"647","1989","135","Norman F. Ramsey","Physics","The Nobel Prize in Physics",3000000,5337372,"1/2","for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks","1989-10-12","1915-08-27",0
"648","1989","136","Hans G. Dehmelt","Physics","The Nobel Prize in Physics",3000000,5337372,"1/4","for the development of the ion trap technique","1989-10-12","1922-09-09",0
"649","1989","137","Wolfgang Paul","Physics","The Nobel Prize in Physics",3000000,5337372,"1/4","for the development of the ion trap technique","1989-10-12","1913-08-10",0
"650","1989","440","J. Michael Bishop","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",3000000,5337372,"1/2","for their discovery of the cellular origin of retroviral oncogenes","1989-10-09","1936-02-22",0
"651","1989","441","Harold E. Varmus","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",3000000,5337372,"1/2","for their discovery of the cellular origin of retroviral oncogenes","1989-10-09","1939-12-18",0
"652","1990","275","Elias James Corey","Chemistry","The Nobel Prize in Chemistry",4000000,6443882,"1","for his development of the theory and methodology of organic synthesis","1990-10-17","1928-07-12",0
"653","1990","704","Harry M. Markowitz","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",4000000,6443882,"1/3","for their pioneering work in the theory of financial economics","1990-10-16","1927-08-24",0
"654","1990","705","Merton H. Miller","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",4000000,6443882,"1/3","for their pioneering work in the theory of financial economics","1990-10-16","1923-05-16",0
"655","1990","706","William F. Sharpe","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",4000000,6443882,"1/3","for their pioneering work in the theory of financial economics","1990-10-16","1934-06-16",0
"656","1990","667","Octavio Paz","Literature","The Nobel Prize in Literature",4000000,6443882,"1","for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",NA,"1914-03-31",0
"657","1990","552","Mikhail Gorbachev","Peace","The Nobel Peace Prize",4000000,6443882,"1","for the leading role he played in the radical changes in East-West relations","1990-10-15","1931-03-02",0
"658","1990","138","Jerome I. Friedman","Physics","The Nobel Prize in Physics",4000000,6443882,"1/3","for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics","1990-10-17","1930-03-28",0
"659","1990","139","Henry W. Kendall","Physics","The Nobel Prize in Physics",4000000,6443882,"1/3","for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics","1990-10-17","1926-12-09",0
